"tank_level_id","station_id","datetime","tank_level"
1,128,"2024-08-01 04:26:23","33.10"
2,136,"2024-08-05 20:47:23","60.20"
3,132,"2024-08-07 16:11:23","82.16"
4,129,"2024-08-21 06:16:23","6.35"
5,140,"2024-08-23 02:33:23","28.38"
6,143,"2024-07-25 13:52:23","40.14"
7,142,"2024-08-22 00:56:23","78.03"
8,135,"2024-08-03 11:40:23","62.12"
9,133,"2024-07-26 16:28:23","39.96"
10,141,"2024-08-12 15:56:23","30.37"
11,139,"2024-08-16 10:44:23","86.18"
12,130,"2024-08-02 22:51:23","71.01"
13,131,"2024-08-20 14:42:23","8.14"
14,127,"2024-08-07 01:42:23","26.28"
15,126,"2024-08-08 04:22:23","39.54"
16,138,"2024-08-09 20:51:23","74.78"
17,145,"2024-08-06 02:20:23","87.33"
18,134,"2024-08-17 01:09:23","41.64"
19,144,"2024-08-15 20:51:23","63.20"
20,137,"2024-07-27 16:06:23","58.72"
