"flow_id","station_id","datetime","total_input_flow","total_output_flow","total_output_pressure"
21,142,"2024-08-23 06:42:18.340134","0.00","0.00","0.00"
22,135,"2024-08-20 09:49:18.340134","0.00","0.00","0.00"
23,126,"2024-08-18 10:52:18.340134","0.00","0.00","0.00"
24,137,"2024-08-17 11:55:18.340134","3109.80","2952.63","6.16"
25,140,"2024-08-15 12:58:18.340134","3011.58","2863.59","6.79"
26,130,"2024-08-14 13:59:18.340134","3405.21","2467.80","7.91"
27,133,"2024-08-14 14:00:18.340134","3590.10","2494.29","6.53"
28,128,"2024-08-12 15:03:18.340134","3344.70","2957.58","6.40"
29,141,"2024-08-09 17:09:18.340134","4413.40","3423.20","8.66"
30,134,"2024-08-09 18:09:18.340134","4333.40","3636.16","9.25"
31,127,"2024-08-09 18:10:18.340134","4397.20","3349.92","10.59"
32,129,"2024-08-07 19:14:18.340134","5586.70","4707.80","12.54"
33,139,"2024-08-06 20:15:18.340134","5195.00","4699.35","12.16"
34,131,"2024-08-05 21:18:18.340134","5994.90","4772.00","13.41"
35,136,"2024-08-04 22:20:18.340134","5903.00","4796.15","10.20"
36,138,"2024-08-03 22:22:18.340134","7194.66","5559.30","16.28"
37,132,"2024-08-02 00:24:18.340134","6932.76","4860.54","12.19"
38,143,"2024-08-01 00:27:18.340134","6168.78","4812.66","12.73"
39,145,"2024-07-29 03:34:18.340134","8119.02","6953.24","15.48"
40,144,"2024-07-25 06:40:18.340134","8046.00","6692.40","22.66"
