"station_id","station_name","station_location","latitude","longitude"
126,"Station1_Riyadh","Riyadh","24.796566","46.861262"
127,"Station2_Riyadh","Riyadh","24.984465","46.623349"
128,"Station3_Riyadh","Riyadh","24.546381","46.079131"
129,"Station4_Riyadh","Riyadh","24.127343","46.792784"
130,"Station1_Jeddah","Jeddah","21.638925","39.436848"
131,"Station2_Jeddah","Jeddah","21.425863","39.679664"
132,"Station3_Jeddah","Jeddah","21.390038","39.912635"
133,"Station4_Jeddah","Jeddah","21.109375","39.701864"
134,"Station1_Makkah","Makkah","21.376358","39.697125"
135,"Station2_Makkah","Makkah","21.210027","39.906983"
136,"Station3_Makkah","Makkah","21.203842","39.896253"
137,"Station4_Makkah","Makkah","21.407423","39.830516"
138,"Station1_Dammam","Dammam","26.840729","49.566939"
139,"Station2_Dammam","Dammam","26.598892","49.137213"
140,"Station3_Dammam","Dammam","26.292211","49.334626"
141,"Station4_Dammam","Dammam","26.751414","49.039763"
142,"Station1_Madinah","Madinah","24.530519","39.708079"
143,"Station2_Madinah","Madinah","24.668866","39.689115"
144,"Station3_Madinah","Madinah","24.962751","39.688975"
145,"Station4_Madinah","Madinah","24.551430","39.530490"
