"complaint_id","station_id","datetime","complaint_count","complaint_type"
1,53,"2024-08-09 16:43:22.368048",35,"Water_Shortage"
2,25,"2024-07-27 13:37:22.368048",49,"Water_Outage"
3,5,"2024-08-01 16:13:22.368048",15,"Water_Outage"
4,4,"2024-08-04 05:03:22.368048",13,"Water_Shortage"
5,24,"2024-08-21 13:32:22.368048",29,"Water_Outage"
6,69,"2024-08-01 03:05:22.368048",50,"Water_Outage"
7,26,"2024-08-03 14:22:22.368048",34,"Water_Shortage"
8,80,"2024-08-19 09:54:22.368048",8,"Water_Outage"
9,38,"2024-08-15 00:13:22.368048",6,"Water_Outage"
10,88,"2024-08-07 23:06:22.368048",50,"Water_Shortage"
11,2,"2024-08-09 12:21:22.368048",23,"Water_Outage"
12,6,"2024-08-15 07:30:22.368048",3,"Water_Outage"
13,81,"2024-08-15 09:31:22.368048",28,"Water_Shortage"
14,40,"2024-07-29 07:01:22.368048",9,"Water_Outage"
15,91,"2024-07-23 22:36:22.368048",16,"Water_Shortage"
16,89,"2024-08-03 08:21:22.368048",38,"Water_Outage"
17,83,"2024-08-03 06:25:22.368048",34,"Water_Shortage"
18,3,"2024-08-15 10:51:22.368048",26,"Water_Shortage"
19,94,"2024-08-10 15:45:22.368048",40,"Water_Outage"
20,16,"2024-08-18 04:43:22.368048",39,"Water_Outage"
21,65,"2024-08-03 19:13:22.368048",13,"Water_Outage"
22,59,"2024-07-26 12:51:22.368048",10,"Water_Outage"
23,50,"2024-08-09 07:13:22.368048",13,"Water_Outage"
24,76,"2024-07-31 16:26:22.368048",16,"Water_Shortage"
25,14,"2024-08-14 11:37:22.368048",38,"Water_Shortage"
26,71,"2024-08-11 16:54:22.368048",17,"Water_Outage"
27,51,"2024-08-02 06:39:22.368048",5,"Water_Outage"
28,80,"2024-07-27 20:23:22.368048",33,"Water_Shortage"
29,80,"2024-08-07 04:48:22.368048",27,"Water_Outage"
30,9,"2024-08-08 13:13:22.368048",4,"Water_Shortage"
31,71,"2024-08-14 23:32:22.368048",11,"Water_Shortage"
32,40,"2024-08-18 19:50:22.368048",22,"Water_Shortage"
33,90,"2024-08-08 20:53:22.368048",44,"Water_Shortage"
34,96,"2024-07-30 13:03:22.368048",13,"Water_Shortage"
35,38,"2024-08-08 21:53:22.368048",19,"Water_Shortage"
36,91,"2024-08-09 20:18:22.368048",19,"Water_Outage"
37,6,"2024-08-14 18:37:22.368048",49,"Water_Shortage"
38,52,"2024-07-28 19:04:22.368048",18,"Water_Shortage"
39,39,"2024-08-20 12:43:22.368048",2,"Water_Shortage"
40,24,"2024-07-24 04:04:22.368048",9,"Water_Outage"
41,86,"2024-08-07 03:02:22.368048",49,"Water_Outage"
42,30,"2024-07-23 11:26:22.368048",49,"Water_Shortage"
43,11,"2024-08-02 22:06:22.368048",11,"Water_Shortage"
44,86,"2024-08-04 13:54:22.368048",40,"Water_Outage"
45,79,"2024-07-29 07:46:22.368048",26,"Water_Outage"
46,25,"2024-07-26 21:24:22.368048",29,"Water_Outage"
47,85,"2024-08-17 07:19:22.368048",43,"Water_Shortage"
48,12,"2024-07-29 13:44:22.368048",36,"Water_Shortage"
49,37,"2024-08-04 20:22:22.368048",16,"Water_Shortage"
50,83,"2024-08-17 18:27:22.368048",12,"Water_Shortage"
51,35,"2024-08-21 12:58:22.368048",20,"Water_Shortage"
52,55,"2024-08-09 10:37:22.368048",18,"Water_Shortage"
53,75,"2024-08-04 12:41:22.368048",35,"Water_Outage"
54,19,"2024-07-26 01:37:22.368048",50,"Water_Outage"
55,83,"2024-08-15 21:01:22.368048",33,"Water_Shortage"
56,38,"2024-07-31 14:45:22.368048",26,"Water_Outage"
57,79,"2024-08-13 23:00:22.368048",31,"Water_Outage"
58,43,"2024-08-11 04:01:22.368048",11,"Water_Shortage"
59,94,"2024-08-14 07:30:22.368048",28,"Water_Shortage"
60,84,"2024-07-25 14:03:22.368048",45,"Water_Outage"
61,54,"2024-08-10 12:26:22.368048",32,"Water_Outage"
62,25,"2024-07-30 02:33:22.368048",30,"Water_Outage"
63,88,"2024-07-23 01:47:22.368048",39,"Water_Shortage"
64,76,"2024-08-04 08:28:22.368048",25,"Water_Shortage"
65,79,"2024-08-14 13:41:22.368048",45,"Water_Shortage"
66,37,"2024-08-17 11:40:22.368048",19,"Water_Shortage"
67,44,"2024-08-09 09:43:22.368048",17,"Water_Outage"
68,69,"2024-08-05 10:43:22.368048",46,"Water_Outage"
69,64,"2024-08-12 04:54:22.368048",24,"Water_Outage"
70,6,"2024-08-16 11:16:22.368048",17,"Water_Shortage"
71,78,"2024-08-13 08:15:22.368048",5,"Water_Outage"
72,10,"2024-08-10 22:40:22.368048",25,"Water_Outage"
73,5,"2024-07-28 04:16:22.368048",39,"Water_Outage"
74,5,"2024-07-27 18:22:22.368048",45,"Water_Outage"
75,36,"2024-08-15 20:40:22.368048",41,"Water_Outage"
76,31,"2024-08-03 19:15:22.368048",6,"Water_Outage"
77,18,"2024-07-25 07:21:22.368048",27,"Water_Outage"
78,95,"2024-08-21 09:46:22.368048",1,"Water_Shortage"
79,8,"2024-08-03 18:13:22.368048",10,"Water_Outage"
80,37,"2024-08-20 13:04:22.368048",10,"Water_Outage"
81,12,"2024-07-27 01:06:22.368048",12,"Water_Shortage"
82,37,"2024-08-10 12:49:22.368048",2,"Water_Shortage"
83,36,"2024-07-25 07:43:22.368048",44,"Water_Outage"
84,8,"2024-08-10 00:56:22.368048",14,"Water_Outage"
85,62,"2024-08-10 05:01:22.368048",14,"Water_Outage"
86,8,"2024-08-09 11:33:22.368048",16,"Water_Outage"
87,54,"2024-08-09 04:00:22.368048",20,"Water_Shortage"
88,61,"2024-08-10 02:27:22.368048",23,"Water_Outage"
89,13,"2024-08-18 10:07:22.368048",12,"Water_Shortage"
90,81,"2024-08-04 04:48:22.368048",30,"Water_Shortage"
91,24,"2024-08-07 02:18:22.368048",38,"Water_Outage"
92,56,"2024-07-23 03:49:22.368048",3,"Water_Outage"
93,64,"2024-08-03 15:01:22.368048",38,"Water_Outage"
94,31,"2024-08-02 22:09:22.368048",2,"Water_Shortage"
95,40,"2024-08-06 12:59:22.368048",21,"Water_Shortage"
96,74,"2024-08-07 20:34:22.368048",13,"Water_Shortage"
97,20,"2024-08-06 00:13:22.368048",35,"Water_Shortage"
98,77,"2024-08-08 00:04:22.368048",27,"Water_Shortage"
99,11,"2024-08-03 09:26:22.368048",6,"Water_Outage"
100,86,"2024-08-18 03:23:22.368048",38,"Water_Outage"
