"flow_id","station_id","datetime","total_input_flow","total_output_flow","total_output_pressure"
1,28,"2024-08-08 09:25:22.368048","5512.70","4262.64","23.33"
2,36,"2024-07-29 01:46:22.368048","5592.24","4083.36","26.28"
3,91,"2024-08-05 19:14:22.368048","5078.96","4646.44","29.06"
4,39,"2024-07-22 03:23:22.368048","5954.79","4995.67","29.18"
5,81,"2024-08-17 11:59:22.368048","5389.86","4774.43","28.51"
6,79,"2024-08-10 07:39:22.368048","5221.81","4118.87","29.99"
7,76,"2024-07-24 08:41:22.368048","5276.69","4581.25","20.07"
8,52,"2024-08-17 10:53:22.368048","5475.68","4894.54","28.19"
9,6,"2024-08-07 20:48:22.368048","5163.77","4074.93","28.41"
10,6,"2024-07-24 01:45:22.368048","5565.61","4748.84","23.38"
11,65,"2024-08-12 09:55:22.368048","5147.33","4264.52","25.07"
12,9,"2024-07-31 15:16:22.368048","5077.78","4627.73","24.56"
13,47,"2024-08-17 05:58:22.368048","5120.50","4613.66","28.57"
14,87,"2024-07-28 02:51:22.368048","5403.16","4421.83","28.55"
15,19,"2024-07-25 16:27:22.368048","5220.67","4815.52","27.03"
16,24,"2024-07-29 11:24:22.368048","5068.87","4108.40","23.75"
17,54,"2024-08-11 17:23:22.368048","5820.66","4584.81","23.71"
18,27,"2024-08-19 16:14:22.368048","5914.93","4878.44","20.67"
19,43,"2024-08-16 04:27:22.368048","5814.07","4515.50","24.66"
20,33,"2024-08-16 01:08:22.368048","5502.58","4473.22","27.97"
21,62,"2024-07-27 01:15:22.368048","5962.44","4864.82","28.67"
22,97,"2024-08-04 20:14:22.368048","5662.49","4570.70","28.22"
23,58,"2024-08-20 04:58:22.368048","5767.58","4457.47","21.35"
24,23,"2024-07-28 14:31:22.368048","5065.94","4307.51","22.54"
25,71,"2024-07-31 14:29:22.368048","5686.44","4816.32","24.08"
26,89,"2024-08-19 00:08:22.368048","5407.52","4697.24","21.63"
27,56,"2024-08-01 15:08:22.368048","5821.60","4634.34","26.22"
28,15,"2024-08-12 09:52:22.368048","5954.69","4493.92","26.18"
29,8,"2024-07-24 12:40:22.368048","5050.84","4253.20","24.17"
30,8,"2024-08-10 18:38:22.368048","5973.44","4874.28","23.54"
31,35,"2024-08-04 13:41:22.368048","5452.01","4586.40","26.62"
